time, seq_cnt, nlos, distance, azimuth, azimuth_fom, elevation, elevation_fom, pdoa1, pdoa2,,
21:57.7,213,0,122,33.7,100,-59.2,100,-89.8,-120.9,,
21:58.2,214,1,121,31.6,100,-60,100,-87,-124.9,,
21:58.7,215,0,126,39.6,100,-60,100,-99.9,-119.9,,
21:59.2,216,1,118,31.7,100,-60,100,-87.1,-122.8,,
21:59.7,217,1,119,29.9,100,-60,100,-84.5,-122.4,,
22:00.2,218,0,126,39.4,100,-60,100,-99.4,-122.5,,
22:00.7,219,1,117,40.2,100,-60,100,-100.8,-121.2,,
22:01.2,220,0,122,40,100,-60,100,-100.5,-120.5,,
22:01.7,221,1,121,41.2,100,-60,100,-102.8,-121.9,,
22:02.2,222,0,121,36.4,100,-60,100,-93.8,-119.2,,
22:02.7,223,1,125,32.8,100,-60,100,-88.6,-124.2,,
22:03.1,224,1,116,36.8,100,-60,100,-94.5,-126.5,,
22:03.6,225,0,120,34.9,100,-60,100,-91.5,-123.5,,
22:04.2,226,0,124,36.8,100,-60,100,-94.6,-121.8,,
22:04.7,227,0,123,32.8,100,-60,100,-88.6,-123.3,,
22:05.2,228,1,120,38.4,100,-60,100,-97.4,-124.5,,
22:05.7,229,0,123,33.9,100,-57.7,100,-89.9,-118.8,,
22:06.1,230,0,121,38.5,100,-60,100,-97.7,-124.1,,
22:06.7,231,1,119,41.4,100,-60,100,-103.1,-129.4,,
22:07.2,232,1,125,30.3,100,-60,100,-85.1,-123.7,,
22:07.7,233,0,118,34.5,100,-60,100,-91,-123.4,,
22:08.2,234,0,120,38.3,100,-60,100,-97.3,-126.1,,
22:08.7,235,0,119,36,100,-60,100,-93.1,-124.8,,
22:09.2,236,0,119,34.9,100,-60,100,-91.5,-124.3,,
22:09.7,237,1,118,24.4,100,-60,100,-76.9,-123.1,,
22:10.1,238,1,116,32.2,100,-60,100,-87.7,-124.4,,
22:10.7,239,1,127,36.1,100,-59.3,100,-93.3,-121.1,,
22:11.2,240,0,124,34.7,100,-60,100,-91.3,-123.7,,
22:11.7,241,0,125,36.8,100,-60,100,-94.5,-120.8,,
22:12.1,242,0,120,35.1,100,-60,100,-91.8,-126.7,,
22:12.6,243,1,120,29.1,100,-60,100,-83.4,-125.7,,
22:13.2,244,0,121,33.9,100,-60,100,-90.1,-125.7,,
22:13.7,245,1,120,41.7,100,-60,100,-103.7,-120.5,,
22:14.1,246,0,124,36.7,100,-60,100,-94.3,-121.3,,
22:14.7,247,1,119,28,100,-60,100,-81.9,-123.6,,
22:15.2,248,0,124,36,100,-60,100,-93.1,-125.8,,
22:15.7,249,1,121,39.9,100,-60,100,-100.3,-123.9,,
22:16.2,250,0,119,40,100,-60,100,-100.6,-114.5,,
22:16.6,251,1,124,31.2,100,-59.9,100,-86.4,-122.1,,
22:17.2,252,0,121,35.9,100,-60,100,-93,-123.3,,
22:17.6,253,1,120,34.4,100,-58.8,100,-90.8,-120.4,,
22:18.2,254,1,121,39.3,100,-60,100,-99.2,-120,,
22:18.6,255,1,121,29.9,100,-60,100,-84.5,-122.4,,
22:19.1,256,1,127,40.4,100,-60,100,-101.2,-120.3,,
22:19.7,257,1,125,32,100,-60,100,-87.4,-125.8,,
22:20.2,258,0,121,35.5,100,-60,100,-92.4,-125.5,,
22:20.7,259,0,121,37.5,100,-60,100,-95.8,-118.6,,
22:21.2,260,1,123,27.7,100,-60,100,-81.4,-122.4,,
22:21.7,261,1,121,42.5,100,-60,100,-105.2,-120.7,,
22:22.2,262,1,130,39.7,100,-60,100,-100,-124.9,,
22:22.7,263,1,120,21.1,100,-58.8,100,-68.3,-120.4,,
22:23.1,264,0,127,34.5,100,-60,100,-91,-122.4,,
22:23.7,265,1,121,40.3,100,-60,100,-101.1,-125.8,,
22:24.2,266,1,123,35.4,100,-60,100,-92.2,-125.2,,
22:24.7,267,1,121,29.4,100,-60,100,-83.8,-123.3,,
22:25.2,268,1,127,40.4,100,-60,100,-101.3,-125,,
22:25.7,269,1,121,41.1,100,-60,100,-102.6,-120.8,,
22:26.2,270,1,120,42.4,100,-60,100,-105.1,-123.7,,
22:26.6,271,1,120,33.3,100,-60,100,-89.2,-129.9,,
22:27.2,272,1,124,30.7,100,-60,100,-85.6,-123.2,,
22:27.7,273,0,120,39.2,100,-60,100,-99.1,-121.4,,
22:28.2,274,0,117,36.4,100,-60,100,-93.7,-122.6,,
22:28.7,275,1,126,40.4,100,-60,100,-101.2,-127.9,,
22:29.2,276,0,121,35.6,100,-60,100,-92.5,-125.2,,
22:29.7,277,0,127,34.9,100,-59.1,100,-91.4,-120.8,,
22:30.2,278,0,118,37.2,100,-60,100,-95.3,-124.5,,
22:30.7,279,0,122,37.1,100,-60,100,-95.2,-121.3,,
22:31.1,280,1,121,41.2,100,-60,100,-102.8,-120.6,,
22:31.7,281,0,121,33.4,100,-60,100,-89.4,-122.4,,
22:32.2,282,1,123,33.1,100,-58.3,100,-88.8,-119.7,,
22:32.6,283,0,121,36.2,100,-59.7,100,-93.4,-121.7,,
22:33.2,284,0,122,38.1,100,-60,100,-96.9,-120.6,,
22:33.7,285,0,114,35.6,100,-60,100,-92.5,-124.7,,
22:34.2,286,1,116,32.3,100,-58.9,100,-87.7,-120.6,,
22:34.7,287,1,122,32.3,100,-60,100,-87.9,-122.3,,
22:35.2,288,0,118,30.9,100,-60,100,-85.9,-123.8,,
22:35.7,289,0,122,37,100,-60,100,-94.9,-126.8,,
22:36.2,290,1,121,22.3,100,-60,100,-71.9,-125,,
22:36.6,291,1,123,32.3,100,-60,100,-87.8,-124.5,,
22:37.2,292,0,123,37.2,100,-60,100,-95.2,-121.9,,
22:37.7,293,1,120,33,100,-59.8,100,-88.9,-121.8,,
22:38.2,294,1,118,41.6,100,-60,100,-103.6,-120.8,,
22:38.7,295,0,119,39.2,100,-60,100,-99,-124.4,,
22:39.1,296,0,124,37.6,100,-60,100,-96,-121.5,,
22:39.7,297,1,125,22.8,100,-60,100,-73.3,-124.2,,
22:40.2,298,1,120,32.9,100,-60,100,-88.7,-128.8,,
22:40.7,299,0,126,32.5,100,-57.3,100,-87.8,-118.1,,
22:41.2,300,0,118,38.8,100,-60,100,-98.2,-125.5,,
22:41.7,301,0,125,34.6,100,-60,100,-91.1,-122.6,,
22:42.2,302,0,121,36.1,100,-59.8,100,-93.3,-121.9,,
22:42.7,303,1,121,30.8,100,-60,100,-85.8,-125.2,,
22:43.1,304,0,127,37.5,100,-60,100,-95.8,-119.2,,
22:43.7,305,0,117,35.7,100,-59.6,100,-92.7,-121.6,,
