time, seq_cnt, nlos, distance, azimuth, azimuth_fom, elevation, elevation_fom, rssi, pdoa1, pdoa2
2025-12-18 16:58:00.349,174,0,98,-18.5,100,-54.1,100,-80.0,45.4,-93.2
2025-12-18 16:58:00.544,175,0,100,-19.5,100,-56.3,100,-80.5,48.9,-96.5
2025-12-18 16:58:00.749,176,0,102,-18.5,100,-57.6,100,-80.5,47.1,-97.2
2025-12-18 16:58:00.949,177,0,94,-18.4,100,-59.2,100,-80.5,47.2,-98.9
2025-12-18 16:58:01.148,178,0,102,-18.7,100,-59.5,100,-80.5,48.1,-99.5
2025-12-18 16:58:01.348,179,0,100,-19.0,100,-54.4,100,-80.5,46.7,-93.8
2025-12-18 16:58:01.543,180,0,98,-17.0,100,-59.1,100,-80.0,43.8,-97.2
2025-12-18 16:58:01.743,181,0,95,-18.2,100,-54.6,100,-80.0,45.0,-93.7
2025-12-18 16:58:01.938,182,0,98,-16.5,100,-60.0,100,-79.5,43.0,-97.5
2025-12-18 16:58:02.138,183,0,93,-19.1,100,-57.7,100,-80.0,48.4,-97.8
2025-12-18 16:58:02.348,184,0,98,-19.9,100,-53.6,100,-80.5,48.7,-93.2
2025-12-18 16:58:02.543,185,0,101,-17.7,100,-54.6,100,-79.5,43.6,-93.4
2025-12-18 16:58:02.753,186,0,96,-19.0,100,-52.1,100,-80.5,45.8,-91.2
2025-12-18 16:58:02.953,187,0,91,-17.5,100,-57.4,100,-80.0,44.3,-96.1
2025-12-18 16:58:03.153,188,0,102,-18.7,100,-54.5,100,-81.0,46.2,-93.9
2025-12-18 16:58:03.349,189,0,99,-17.9,100,-56.5,100,-80.0,45.1,-95.5
2025-12-18 16:58:03.544,190,0,100,-16.9,100,-56.9,100,-79.5,42.8,-95.1
2025-12-18 16:58:03.749,191,0,98,-18.2,100,-58.0,100,-80.0,46.3,-97.3
2025-12-18 16:58:03.948,192,0,101,-18.0,100,-55.0,100,-80.0,44.6,-94.0
2025-12-18 16:58:04.148,193,0,97,-19.1,100,-55.9,100,-80.0,47.7,-95.8
2025-12-18 16:58:04.353,194,0,91,-20.3,100,-53.1,100,-79.5,49.6,-92.7
2025-12-18 16:58:04.548,195,0,94,-19.1,100,-56.4,100,-80.0,47.8,-96.3
2025-12-18 16:58:04.753,196,0,98,-19.6,100,-56.6,100,-81.5,49.2,-96.9
2025-12-18 16:58:04.953,197,0,96,-19.0,100,-58.4,100,-80.5,48.5,-98.6
2025-12-18 16:58:05.153,198,0,97,-18.5,100,-55.5,100,-80.0,46.2,-94.9
2025-12-18 16:58:05.353,199,0,104,-18.9,100,-54.5,100,-80.0,46.6,-93.9
2025-12-18 16:58:05.553,200,0,98,-19.0,100,-57.2,100,-80.0,47.9,-97.2
2025-12-18 16:58:05.743,201,0,103,-20.2,100,-57.0,100,-79.5,50.9,-98.0
2025-12-18 16:58:05.953,202,0,93,-20.0,100,-55.1,100,-80.0,49.7,-95.2
2025-12-18 16:58:06.153,203,0,92,-18.7,100,-56.5,100,-80.0,46.9,-100.1
2025-12-18 16:58:06.348,204,0,97,-17.5,100,-57.1,100,-80.0,44.4,-95.8
2025-12-18 16:58:06.549,205,0,95,-19.4,100,-57.1,100,-79.5,48.8,-97.4
2025-12-18 16:58:06.749,206,0,94,-21.5,100,-50.6,100,-80.0,51.7,-89.2
2025-12-18 16:58:06.948,207,0,92,-20.7,100,-54.9,100,-80.5,51.3,-95.3
2025-12-18 16:58:07.148,208,0,95,-19.1,100,-58.5,100,-79.0,48.6,-98.8
2025-12-18 16:58:07.348,209,0,94,-16.5,100,-60.0,100,-80.0,43.1,-98.2
2025-12-18 16:58:07.553,210,0,98,-18.0,100,-55.3,100,-80.0,44.8,-94.4
2025-12-18 16:58:07.748,211,0,101,-19.4,100,-56.0,100,-80.0,48.3,-96.0
2025-12-18 16:58:07.948,212,0,95,-17.4,100,-57.9,100,-81.0,44.5,-96.5
